Banc de test optique V0.2

tension de test théorique : 12V
tension = 0.00 VDC;courant = 0.00 A;

Angle °;cd;X;Y;lux;temperature ambiante °C; temps après allumage en ms;
28.8;18.03;0.0000;0.0000;1.0221;1995.30;314699;
29.0;18.04;0.0000;0.0000;1.0229;1994.89;315115;
29.2;18.00;0.0000;0.0000;1.0206;1994.89;315531;
29.4;17.99;0.0000;0.0000;1.0201;1994.83;315947;
29.6;17.99;0.0000;0.0000;1.0196;1994.79;316363;
29.8;18.10;0.0000;0.0000;1.0259;1994.83;316779;
30.0;18.27;0.0000;0.0000;1.0354;1994.89;317195;
30.2;18.30;0.0000;0.0000;1.0375;1994.90;317611;
30.4;18.37;0.0000;0.0000;1.0411;1994.90;318027;
30.6;18.56;0.0000;0.0000;1.0523;1994.89;318443;
30.8;18.72;0.0000;0.0000;1.0614;1994.89;318859;
31.0;18.88;0.0000;0.0000;1.0704;1994.86;319275;
31.2;19.11;0.0000;0.0000;1.0831;1994.83;319691;
31.4;19.31;0.0000;0.0000;1.0948;1994.84;320107;
31.6;19.56;0.0000;0.0000;1.1090;1994.84;320523;
31.8;19.75;0.0000;0.0000;1.1197;1994.87;320939;
32.0;19.86;0.0000;0.0000;1.1256;1994.81;321355;
32.2;20.00;0.0000;0.0000;1.1340;1994.89;321771;
32.4;20.17;0.0000;0.0000;1.1437;1994.84;322187;
32.6;20.38;0.0000;0.0000;1.1551;1994.82;322603;
32.8;20.61;0.0000;0.0000;1.1682;1994.82;323019;
33.0;20.74;0.0000;0.0000;1.1760;1994.80;323435;
33.2;20.93;0.0000;0.0000;1.1863;1994.83;323851;
33.4;21.14;0.0000;0.0000;1.1986;1994.79;324267;
33.6;21.31;0.0000;0.0000;1.2082;1994.83;324683;
33.8;21.34;0.0000;0.0000;1.2099;1994.80;325099;
34.0;21.39;0.0000;0.0000;1.2129;1994.80;325515;
34.2;21.43;0.0000;0.0000;1.2149;1994.80;325931;
34.4;21.42;0.0000;0.0000;1.2141;1994.76;326347;
34.6;21.37;0.0000;0.0000;1.2114;1994.80;326763;
34.8;21.31;0.0000;0.0000;1.2081;1994.83;327179;
35.0;21.28;0.0000;0.0000;1.2065;1994.83;327595;
35.2;21.22;0.0000;0.0000;1.2029;1994.84;328011;
35.4;21.19;0.0000;0.0000;1.2011;1994.81;328427;
35.6;21.20;0.0000;0.0000;1.2017;1994.86;328843;
35.8;21.23;0.0000;0.0000;1.2037;1995.21;329259;
36.0;21.28;0.0000;0.0000;1.2062;1994.79;329675;
36.2;21.35;0.0000;0.0000;1.2104;1994.79;330091;
36.4;21.36;0.0000;0.0000;1.2110;1994.76;330507;
36.6;21.36;0.0000;0.0000;1.2108;1994.80;330923;
36.8;21.30;0.0000;0.0000;1.2077;1994.84;331339;
37.0;21.25;0.0000;0.0000;1.2044;1994.83;331755;
37.2;21.27;0.0000;0.0000;1.2056;1994.92;332171;
37.4;21.32;0.0000;0.0000;1.2088;1994.92;332587;
37.6;21.39;0.0000;0.0000;1.2126;1994.90;333003;
37.8;21.44;0.0000;0.0000;1.2153;1994.90;333419;
38.0;21.48;0.0000;0.0000;1.2176;1994.86;333835;
38.2;21.54;0.0000;0.0000;1.2209;1995.25;334251;
38.4;21.60;0.0000;0.0000;1.2247;1994.86;334667;
